address,label,sol_path,has_verified_source
0xe77d19f2b9cda69616d01e610595abc83725d3ce,0,raw_data/0xe77d19f2b9cda69616d01e610595abc83725d3ce/UserWallet.sol,1
0x78804f400c1b886ba72c7690d8476767fb4917eb,0,,0
0x8cf40b491c6ecce6ad869e2bff907ca2deac2608,0,raw_data/0x8cf40b491c6ecce6ad869e2bff907ca2deac2608/UserWallet.sol,1
0x98f777fb9139576902bf7f35956ca015ddc1569f,1,raw_data/0x98f777fb9139576902bf7f35956ca015ddc1569f/ETJ.sol,1
0x4437fb54bd465b94a7e6cd4796f2b1ada4c3cfe1,0,,0
0x00819c26fbd1c7b70b3270567a55af46d5ea5b08,1,raw_data/0x00819c26fbd1c7b70b3270567a55af46d5ea5b08/Connective_DAO.sol,1
0xc7c03b8a3fc5719066e185ea616e87b88eba44a3,1,raw_data/0xc7c03b8a3fc5719066e185ea616e87b88eba44a3/EligmaTokenContract.sol,1
0xd4c435f5b09f855c3317c8524cb1f586e42795fa,1,raw_data/0xd4c435f5b09f855c3317c8524cb1f586e42795fa/CND.sol,1
0x628d24dc82bd75259297438ef4c5284ecf43df27,1,raw_data/0x628d24dc82bd75259297438ef4c5284ecf43df27/Ti.sol,1
0xe8c28f284c75f826bef3198b239ac6f34907bf5d,1,raw_data/0xe8c28f284c75f826bef3198b239ac6f34907bf5d/NyanInu.sol,1
0x25febd7c860b50c79dd38815a451b08f74b7cee5,1,raw_data/0x25febd7c860b50c79dd38815a451b08f74b7cee5/CommunityNoTax.sol,1
0xbd53a4db4003c59070abbfa4e6c31afbf0b26843,1,raw_data/0xbd53a4db4003c59070abbfa4e6c31afbf0b26843/ETH_QUIZ.sol,1
0x5a61da190215faa56aed0489e9357c2f2713e340,0,raw_data/0x5a61da190215faa56aed0489e9357c2f2713e340/UserWallet.sol,1
0xe0cca1f686284f84b6ebb97bdf6b33a180d34cd8,0,,0
0x9f24fd67f51664b146571eedf103463543e91e7b,0,raw_data/0x9f24fd67f51664b146571eedf103463543e91e7b/UserWallet.sol,1
0xa25247f9102d02dc5f11792a57c757c5d62d9acf,1,raw_data/0xa25247f9102d02dc5f11792a57c757c5d62d9acf/FOMI.sol,1
0x25821e9b69ef4425a789c052522f2f0ad939fa80,1,raw_data/0x25821e9b69ef4425a789c052522f2f0ad939fa80/BabyStarLink.sol,1
0xd80aaa052fce83149862c60534f277a52b6a8d58,1,raw_data/0xd80aaa052fce83149862c60534f277a52b6a8d58/TrashCoin.sol,1
0x18205bdd8ccbe685af20d5517d2a20c03a1d4694,0,raw_data/0x18205bdd8ccbe685af20d5517d2a20c03a1d4694/UserWallet.sol,1
0x5bce985ab6c186d24f9a35db61c199737331ede0,0,,0
0x688115aebd883548b40c031dce1a0d0f0a4b9253,0,,0
0xa8bc1c89ba2ed4d6679796b99a3ea1660d916007,0,raw_data/0xa8bc1c89ba2ed4d6679796b99a3ea1660d916007/UserWallet.sol,1
0x5ecbaaba1baa0072047158685d001374dc6aef0b,0,raw_data/0x5ecbaaba1baa0072047158685d001374dc6aef0b/UserWallet.sol,1
0x63258cdbbb74ad2a82b78efa71911272722af4a3,0,,0
0xb302a8e5da35eb272c810333f1b991d458ae4c26,1,raw_data/0xb302a8e5da35eb272c810333f1b991d458ae4c26/Mivie.sol,1
0x5e03324661db476a88bbfd734d9425262d85ae8a,0,raw_data/0x5e03324661db476a88bbfd734d9425262d85ae8a/UserWallet.sol,1
0xf170e036250f2cad138d7b4dd6d19796504d0367,0,,0
0x5ac31dbade658cd5c8cfc78f555e829653b0a9b4,0,,0
0x4d8266eC8dEd77EdaC50A0Eefe3d6934B53663cD,1,raw_data/0x4d8266eC8dEd77EdaC50A0Eefe3d6934B53663cD/OEBStaking.sol,1
0x1f0c731ef12752efab9425fcaf941f3ef2940dc6,0,,0
0xea822d8a8c783fd7aa5975918a73c37cdff807e6,1,raw_data/0xea822d8a8c783fd7aa5975918a73c37cdff807e6/BONE.sol,1
0x3b38bab9289f00411bb34a28cebb53a2010483ec,1,raw_data/0x3b38bab9289f00411bb34a28cebb53a2010483ec/RedHerring.sol,1
0x209e9e4060ab423b2e9250c753bf5d3b54eb5856,1,raw_data/0x209e9e4060ab423b2e9250c753bf5d3b54eb5856/SuzumiyaInu.sol,1
0x8a9d0bfd0213db62233b1d533bfebff5f52c4c37,0,,0
0x2c46066f07be916c8d8e67c279ec4baa93b30ac6,0,,0
